title,console,genre,publisher,critic_score,total_sales,release_date,last_update
Spider-Man 2,PS2,Action,Activision,7.9,3.41,6/28/2004,
FIFA Soccer 2003,PS2,Sports,EA Sports,,3.4,11/14/2002,
Crash Bash,PS,Misc,Sony Computer Entertainment,6.8,3.39,11/6/2000,
Gears of War 4,XOne,Shooter,Microsoft Studios,,3.38,10/11/2016,1/13/2018
The Elder Scrolls V: Skyrim Special Edition,PS4,Role-Playing,Bethesda Softworks,8.3,3.36,10/28/2016,4/1/2018
Watch Dogs 2,PS4,Action,Ubisoft,,3.36,11/15/2016,
WWF War Zone,PS,Fighting,Acclaim Entertainment,,3.36,7/14/1998,
Assassin's Creed IV: Black Flag,X360,Action-Adventure,Ubisoft,8.5,3.34,10/29/2013,3/22/2018
NBA 2K18,PS4,Sports,2K Sports,8.1,3.34,9/19/2017,4/2/2018
James Bond 007: Nightfire,PS2,Shooter,Electronic Arts,,3.33,11/18/2002,
Star Wars Episode III: Revenge of the Sith,PS2,Action,LucasArts,,3.32,5/4/2005,
Max Payne,PS2,Shooter,Rockstar Games,8.1,3.31,12/6/2001,
Madden NFL 16,PS4,Sports,EA Sports,8.2,3.3,8/25/2015,3/31/2018
The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,8.4,3.28,11/5/2003,
Madden NFL 17,PS4,Sports,EA Sports,8.5,3.28,8/23/2016,4/1/2018
Gran Turismo (PSP),PSP,Racing,Sony Computer Entertainment,,3.27,10/1/2009,1/3/2018
Far Cry 3,PS3,Shooter,Ubisoft,,3.27,12/4/2012,
True Crime: Streets of LA,PS2,Action,Activision,,3.27,11/3/2003,
FIFA 16,XOne,Sports,EA Sports,8.5,3.25,9/22/2015,4/1/2018
L.A. Noire,PS3,Adventure,Rockstar Games,9.1,3.21,11/15/2011,
007: Tomorrow Never Dies,PS,Shooter,Electronic Arts,6.2,3.21,11/16/1999,
WWF SmackDown! 2: Know Your Role,PS,Fighting,THQ,8.7,3.2,11/21/2000,
Assassin's Creed IV: Black Flag,PS4,Action-Adventure,Ubisoft,8.3,3.19,11/15/2013,3/14/2018
Enter the Matrix,PS2,Action,Atari,,3.18,5/14/2003,
Assassin's Creed Odyssey,PS4,Action-Adventure,Ubisoft,9.5,3.18,10/5/2018,11/17/2018
Fallout: New Vegas,PS3,Role-Playing,Bethesda Softworks,8.2,3.17,10/19/2010,
FIFA Soccer 08,PS2,Sports,EA Sports,,3.14,10/9/2007,
Club Penguin: Elite Penguin Force,DS,Adventure,Disney Interactive Studios,7,3.14,11/25/2008,
FIFA 18,XOne,Sports,EA Sports,8,3.14,9/29/2017,4/2/2018
Spider-Man,PS,Action,Activision,,3.13,8/30/2000,
The Elder Scrolls IV: Oblivion,PS3,Role-Playing,Bethesda Softworks,9.3,3.12,3/20/2007,
Resident Evil 6,PS3,Action,Capcom,,3.12,10/2/2012,
Need for Speed III: Hot Pursuit,PS,Racing,Electronic Arts,,3.12,3/25/1998,
Tom Clancy's Ghost Recon Wildlands,PS4,Shooter,Ubisoft,7,3.12,3/7/2017,4/1/2018
Titanfall,XOne,Shooter,Electronic Arts,,3.11,3/11/2014,1/12/2018
NBA 2K13,X360,Sports,2K Sports,8.6,3.11,10/2/2012,1/4/2018
Mass Effect 2,X360,Role-Playing,Electronic Arts,9.5,3.1,1/26/2010,
