FIPS Code,State,Area name,Attribute,Value
32007,NV,Elko County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.53764393
33015,NH,Rockingham County,"Percent of adults with a bachelor's degree or higher, 2019-23",44.7805646
33013,NH,Merrimack County,"Percent of adults with a bachelor's degree or higher, 2019-23",38.07981296
33007,NH,Coos County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.16981671
33001,NH,Belknap County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.5746712
33017,NH,Strafford County,"Percent of adults with a bachelor's degree or higher, 2019-23",38.49487476
33019,NH,Sullivan County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.51616045
33005,NH,Cheshire County,"Percent of adults with a bachelor's degree or higher, 2019-23",35.31541316
33003,NH,Carroll County,"Percent of adults with a bachelor's degree or higher, 2019-23",38.79496756
33009,NH,Grafton County,"Percent of adults with a bachelor's degree or higher, 2019-23",44.8374674
34029,NJ,Ocean County,"Percent of adults with a bachelor's degree or higher, 2019-23",33.6962075
34003,NJ,Bergen County,"Percent of adults with a bachelor's degree or higher, 2019-23",52.61504256
34007,NJ,Camden County,"Percent of adults with a bachelor's degree or higher, 2019-23",35.27554408
34039,NJ,Union County,"Percent of adults with a bachelor's degree or higher, 2019-23",38.56379846
34025,NJ,Monmouth County,"Percent of adults with a bachelor's degree or higher, 2019-23",50.60127215
34021,NJ,Mercer County,"Percent of adults with a bachelor's degree or higher, 2019-23",44.90018457
34033,NJ,Salem County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.97769107
34027,NJ,Morris County,"Percent of adults with a bachelor's degree or higher, 2019-23",57.24733474
34035,NJ,Somerset County,"Percent of adults with a bachelor's degree or higher, 2019-23",57.35099175
35028,NM,Los Alamos County,"Percent of adults with a bachelor's degree or higher, 2019-23",68.24698368
35023,NM,Hidalgo County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.7693107
35011,NM,De Baca County,"Percent of adults with a bachelor's degree or higher, 2019-23",8.31809872
35031,NM,McKinley County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.46177031
35027,NM,Lincoln County,"Percent of adults with a bachelor's degree or higher, 2019-23",28.77538071
35007,NM,Colfax County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.99653792
35025,NM,Lea County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.27733321
35009,NM,Curry County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.29158381
35015,NM,Eddy County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.82151362
36059,NY,Nassau County,"Percent of adults with a bachelor's degree or higher, 2019-23",48.71380189
36031,NY,Essex County,"Percent of adults with a bachelor's degree or higher, 2019-23",31.30230306
36111,NY,Ulster County,"Percent of adults with a bachelor's degree or higher, 2019-23",37.05043737
36009,NY,Cattaraugus County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.67388552
36057,NY,Montgomery County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.51536754
36103,NY,Suffolk County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.86180066
36119,NY,Westchester County,"Percent of adults with a bachelor's degree or higher, 2019-23",52.51003296
36109,NY,Tompkins County,"Percent of adults with a bachelor's degree or higher, 2019-23",59.24992685
36071,NY,Orange County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.2423366
37025,NC,Cabarrus County,"Percent of adults with a bachelor's degree or higher, 2019-23",37.66173752
37013,NC,Beaufort County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.5857256
37167,NC,Stanly County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.69853073
37139,NC,Pasquotank County,"Percent of adults with a bachelor's degree or higher, 2019-23",26.85548968
37003,NC,Alexander County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.40647019
37023,NC,Burke County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.17086345
37193,NC,Wilkes County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.66771508
37061,NC,Duplin County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.49871799
37043,NC,Clay County,"Percent of adults with a bachelor's degree or higher, 2019-23",31.41467828
38053,ND,McKenzie County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.7960121
38063,ND,Nelson County,"Percent of adults with a bachelor's degree or higher, 2019-23",28.15405046
38061,ND,Mountrail County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.3662619
38027,ND,Eddy County,"Percent of adults with a bachelor's degree or higher, 2019-23",28.19358469
38051,ND,McIntosh County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.00201207
38007,ND,Billings County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.43626062
38021,ND,Dickey County,"Percent of adults with a bachelor's degree or higher, 2019-23",27.06065319
38049,ND,McHenry County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.88709677
38001,ND,Adams County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.75592569
39099,OH,Mahoning County,"Percent of adults with a bachelor's degree or higher, 2019-23",26.36059967
39067,OH,Harrison County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.98141406
39117,OH,Morrow County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.19568796
39073,OH,Hocking County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.35556228
39109,OH,Miami County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.92350925
39143,OH,Sandusky County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.1053301
39169,OH,Wayne County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.71529902
39125,OH,Paulding County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.73396967
39039,OH,Defiance County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.11697239
40049,OK,Garvin County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.68275065
